"id";"дата";"зірки";"магазин";"мова";"оригінал";"українською"
"as:14252277944";"2026-07-02";"1";"appstore";"han";"上面显示是三天免费试用，结果一下载就扣了363，退款也被拒绝了 ，I was misled by the interface into an accidental subscription, losing 363 RMB. Apple refused a refund, and your response was just ""we'll look into it"" with no real action. If you can collect the payment, why not refund it? Please stop the runaround and solve this issue.";"Зверху було написано три дні безкоштовного пробного періоду, а щойно я завантажив — списали 363, і в поверненні теж відмовили. Мене ввів в оману інтерфейс, і я випадково оформив підписку, втративши 363 юані. Apple відмовила в поверненні, а ваша відповідь була просто «ми розберемось» без жодних реальних дій. Якщо ви можете забрати платіж, чому не можете його повернути? Будь ласка, припиніть цю тяганину і вирішіть це питання."
"gp:f1d68076-170";"2024-05-27";"1";"googleplay";"en_or_unknown";"That's a total scam! They tricked me into signing up and subscribing. Don't do it. They charged my credit card $49.99 three times. Can you please cancel it and refund me right away?";"Це чисте шахрайство! Вони обманом змусили мене зареєструватись і оформити підписку. Не робіть цього. Вони списали з моєї кредитки 49,99 доларів тричі. Можете, будь ласка, скасувати це і негайно повернути мені гроші?"
"as:4834785361";"2019-09-25";"1";"appstore";"en_or_unknown";"Did not want the subscription trying to cancel the subscription. I was exiting the app after my friend was looking at it and it made me pay for a 1 year subscription payment! Now I can’t pay rent trying to cancel the payment and not able to reach anyone so have to cancel my card and dispute the transaction! It says 3-7 day trial but is this true why is it charging me for a full year going to loose my home and be homeless due to this please help me anyone! I do not know where to contact to resolve this issue !? Worst mistake of my life";"Я не хотіла підписки, намагаюсь її скасувати. Я виходила з застосунку після того, як його дивився мій друг, і воно змусило мене заплатити за річну підписку! Тепер я не можу заплатити за оренду, намагаюсь скасувати платіж і ні до кого не можу додзвонитись, тож доводиться блокувати картку і оскаржувати транзакцію! Пише про 3–7 днів пробного періоду, але чи це правда — чому з мене списують за цілий рік? Через це я втрачу житло і залишусь без даху над головою, будь ласка, допоможіть мені хоч хтось! Я не знаю, куди звертатись, щоб це вирішити!? Найгірша помилка в моєму житті."
"gp:1f2146f8-5fb";"2025-11-15";"1";"googleplay";"en_or_unknown";"I want to cancel subscription not interested in the ocult not even for entertainment I can't cancel why is it so ha t d to cancel your site please cancel my subscription I don't want it";"Я хочу скасувати підписку, мене не цікавить окультизм навіть як розвага, я не можу скасувати, чому так складно скасувати на вашому сайті, будь ласка, скасуйте мою підписку, вона мені не потрібна."
"gp:cb7e4b75-0f2";"2026-03-31";"2";"googleplay";"en_or_unknown";"Please - can you cancel my subscription?? I must have had a free trial - but I have ADHD and severe CPTSD - please, please can you refund the payment that's in my pending payments?? it's a HUGE amount of money - PLEASE HELP. I CAN'T FIND HOW TO CONTACT YOU. PLEASE HELP";"Будь ласка — можете скасувати мою підписку?? Напевно, у мене був безкоштовний пробний період, але в мене СДУГ і важкий КПТСР — будь ласка, будь ласка, можете повернути платіж, який висить у мене в очікуваних?? Це ВЕЛИЧЕЗНА сума грошей — БУДЬ ЛАСКА, ДОПОМОЖІТЬ. Я НЕ МОЖУ ЗНАЙТИ, ЯК З ВАМИ ЗВ'ЯЗАТИСЬ. БУДЬ ЛАСКА, ДОПОМОЖІТЬ."
"gp:55cfe709-0af";"2026-01-04";"1";"googleplay";"en_or_unknown";"hello, my credit card was automatically charged just now - I want a refund as I do not wish to use the app. can you please help me? I don't find the trial version of the app useful. Edit: I wrote to the email you asked me to, but so far no response has been received. please help.";"вітаю, з моєї кредитної картки щойно автоматично списали кошти — я хочу повернення, бо не маю наміру користуватись застосунком. можете, будь ласка, мені допомогти? пробна версія застосунку не здалась мені корисною. Доповнення: я написав на пошту, яку ви вказали, але відповіді досі немає. будь ласка, допоможіть."
"gp:48493c4d-eea";"2025-09-17";"1";"googleplay";"en_or_unknown";"you made 2 unauthorised charges from me , you not even providing me with receipts for those 2 unauthorised charges. this is scamming, I want my money back, please, from both unauthorised charges by you 17th August 2025 amount €29.25. 16th September 2025 amount €39 how can you scamming people like this?";"ви зробили з мене 2 несанкціоновані списання, і навіть не надали мені чеків за ці 2 несанкціоновані списання. це шахрайство, я хочу свої гроші назад, будь ласка, за обидва несанкціоновані списання з вашого боку: 17 серпня 2025 на суму €29,25 і 16 вересня 2025 на суму €39. як ви можете так обманювати людей?"
"gp:fb38ad26-001";"2025-05-14";"1";"googleplay";"en_or_unknown";"I want my money Back, I never Authorized the debit on my account. I never used this app because is really bad, I dont like it. I can't cancel the subscriptión on Google play, doesn't exist. Please help me to unsubscribe I don't want you to debit my account again. You are thieves, you're stealing from me.";"Я хочу свої гроші назад, я ніколи не давав дозволу на списання з мого рахунку. Я ніколи не користувався цим застосунком, бо він дуже поганий, він мені не подобається. Я не можу скасувати підписку в Google Play, її там не існує. Будь ласка, допоможіть мені відписатись, я не хочу, щоб ви знову списували з мого рахунку. Ви злодії, ви крадете в мене."
"as:13083860258";"2025-08-31";"1";"appstore";"en_or_unknown";"I’m no more using the app why do you still deducting 
 money  from my ATM account? Are you guys fraud? The app is fraud don’t download it, if you’re new. I need my money back. Fraud people 😡";"Я більше не користуюсь застосунком, чому ви й досі знімаєте гроші з мого банкоматного рахунку? Ви шахраї? Застосунок — шахрайство, не завантажуйте, якщо ви новачок. Мені потрібні мої гроші назад. Шахраї 😡"
"gp:70f36e96-83e";"2024-11-10";"1";"googleplay";"en_or_unknown";"Hello, you are trying to charge me $45 dollars for a free Palm reading,.. Yes I paid 2 dollars for a trial....I do not owe you money, nor did I sign-up for a Subscription, guys they are Scammers....I have No account with you! Update!! So I went to your website, Your own Chat Bot just Verified that My so - called account that I could Never find was Cancelled. If this is Correct; why are you trying to charge my account? Please stop, I need compensation, I have Proof you tried to cheat me 11/8/24";"Вітаю, ви намагаєтесь списати з мене 45 доларів за безкоштовне читання по долоні... Так, я заплатив 2 долари за пробний період... Я не винен вам грошей і не підписувався на жодну Підписку, народ, вони Шахраї... У мене немає у вас акаунта! Оновлення!! Я зайшов на ваш сайт, і ваш власний Чат-бот сам Підтвердив, що мій так званий акаунт, який я так і не зміг знайти, було Скасовано. Якщо це Правильно — чому ви намагаєтесь списати з мого рахунку? Будь ласка, припиніть, мені потрібна компенсація, у мене є Доказ, що ви намагались мене обдурити 08.11.24"
