"id";"дата";"зірки";"магазин";"мова";"бал";"оригінал";"українською"
"gp:2e139a14-c50";"2024-02-28";"1";"googleplay";"es";"7";"ME ROBARON. hice una compra de un dólar, es decir 900 pesos que más impuestos se hacían 1400. Después De Esa Compra se acredito otra más de 28 mil pesos que yo no hice, ya contacte con la tarjeta y con la empresa pero necesito buscar ayudar en todos lados. POR FAVOR DEVUELVANME LA PLATA, LA NECESITO";"МЕНЕ ОБІКРАЛИ. Я зробила покупку на один долар, тобто 900 песо, що з податками вийшло 1400. Після тієї покупки списали ще одну, на 28 тисяч песо, якої я не робила. Я вже зв'язалась із банком картки і з компанією, але мені треба шукати допомоги всюди. БУДЬ ЛАСКА, ПОВЕРНІТЬ МЕНІ ГРОШІ, МЕНІ ВОНИ ПОТРІБНІ."
"gp:eaff5c82-d51";"2021-11-09";"1";"googleplay";"es";"7";"No me dejaba ver mi compatibilidad con otros signos por mas que veia y veia anuncios,si me pueden ayudar o les paso lo mismos pero arreglaron el ploblema,por favor ayudenme";"Воно не давало мені побачити мою сумісність з іншими знаками, хоч скільки я дивилась і дивилась рекламу. Якщо можете мені допомогти, або якщо в когось було те саме, але проблему виправили — будь ласка, допоможіть мені."
"gp:88f68d1d-dc7";"2021-01-06";"3";"googleplay";"es";"7";"Esta app es buena la descargue en mi iPhone 7 (IOS) completamente en español, cambien de dispositivo móvil a un Moto one fusión (Android) y no entiendo por qué sale en inglés, las notificaciones si salen en español pero el contenido sale en inglés, arreglen el idioma para dispositivos Android a español por favor. Gracias.";"Цей застосунок хороший, я завантажила його на свій iPhone 7 (iOS) повністю іспанською. Змінила мобільний пристрій на Moto One Fusion (Android) і не розумію, чому він англійською. Сповіщення приходять іспанською, а контент англійською. Виправте, будь ласка, мову для пристроїв Android на іспанську. Дякую."
"gp:758d89da-c44";"2025-09-28";"1";"googleplay";"pt";"6";"ISSO É UM GOLPE, QUERO SABER SE ESSES GOLPISTAS VÃO TER ACESSO AO MEUS CARTÃO, JÁ DENUNCIEI VOCÊS NO YOUTUBE, COMPREI UM VALOR DE 13 REAIS E RASPARAM MINHA CONTA DE CRÉDITO SE EU TIVESSE UM VALOR ALTO TINHAM PEGADO, EU QUERO MEU DINHEIRO, E AINDA FICAM PEDINDO PRA MANDAR MENSAGEM PARA RESOLVER DEVOLVAM MEU DINHEIRO SIMPLES, NAO VEIO EMAIL DE COMPROVANTE DE PAGAMENTO. E AINDA FICAM MANDANDO MENSAGEM QUE O MEU PROBLEMA ESTÁ RESOLVIDO, NÃO NÃO ESTÁ RESOLVIDO,CASO DE POLÍCIA.";"ЦЕ ШАХРАЙСТВО. ХОЧУ ЗНАТИ, ЧИ ЦІ ШАХРАЇ БУДУТЬ МАТИ ДОСТУП ДО МОЄЇ КАРТКИ. Я ВЖЕ ПОСКАРЖИВСЯ НА ВАС НА YOUTUBE. Я КУПИВ НА 13 РЕАЛІВ, А ВОНИ ВИСКРЕБЛИ МІЙ КРЕДИТНИЙ РАХУНОК — ЯКБИ В МЕНЕ БУЛА ВЕЛИКА СУМА, ВЗЯЛИ Б І ЇЇ. Я ХОЧУ СВОЇ ГРОШІ. І ВИ Й ДАЛІ ПРОСИТЕ НАДІСЛАТИ ПОВІДОМЛЕННЯ, ЩОБ ВИРІШИТИ — ПРОСТО ПОВЕРНІТЬ МОЇ ГРОШІ. ЛИСТА З ПІДТВЕРДЖЕННЯМ ОПЛАТИ НЕ ПРИЙШЛО. І ВИ Й ДАЛІ НАДСИЛАЄТЕ ПОВІДОМЛЕННЯ, ЩО МОЮ ПРОБЛЕМУ ВИРІШЕНО — НІ, НЕ ВИРІШЕНО. ЦЕ СПРАВА ДЛЯ ПОЛІЦІЇ."
"gp:4c3c5636-634";"2026-09-09";"1";"googleplay";"hangul";"5";"아니, 재미삼아 1달러 결제하고 나갔는데 그날 바로 구독료나가고 1주일 뒤에는 배로 결제되었네요. 어떻게 이럴수 있습니까? 구독취소는 왜 안되게 해놓은겁니까? 구독동의도 하지않았는데 구독되게 해놓고 자동결제하는건 사기 아닌가요? 플레이스토어에서 구독 왜 취소 안되나요? 구독목록은 왜 안뜨게 해놓으신거죠? 그래놓고 영어설명에는 구독되어있으니 취소방법 올려놓으셨던데 사기 아닌가요? 저 해외불법청구로 카드사에 신고해놨습니다. 저 정말로 화가나네요. 법적대응 찾을것이니 후속조치 바랍니다. 그리고 답변 한국말로 적으세요. 왜 영어로 답변 답니까? 팔아먹을때는 한국어고, 고지내용, 환급정책은 다 영어네요? 것도 한국어로 다 다세요. 그리고 답변 이거 AI죠? 메일 주소도 통일되어있지 않던데요? 이거 파봐야겠네. 대응이 성의없어서 신고하겠습니다.";"Ні, я заради розваги заплатив 1 долар і вийшов, а того ж дня списали плату за підписку, а через тиждень списали вдвічі більше. Як це взагалі можливо? Чому ви зробили так, що підписку неможливо скасувати? Хіба це не шахрайство — оформити підписку, на яку я не давав згоди, і автоматично списувати? Чому в Play Store підписка не скасовується? Чому ви зробили так, що список підписок не відображається? І при цьому в англійському описі ви виклали спосіб скасування, мовляв підписка оформлена — хіба це не шахрайство? Я вже поскаржився в банк на незаконне закордонне стягнення. Я справді розлючений. Я шукатиму юридичних заходів, тож прошу вжити подальших дій. І пишіть відповідь корейською. Чому ви відповідаєте англійською? Коли продаєте — корейською, а повідомлення і політика повернення — усе англійською? Напишіть і це все корейською. І ця відповідь — це ж ШІ, так? Адреси пошти у вас теж не узгоджені. Треба це розкопати. Реакція без жодного старання, тож я поскаржусь."
"as:11244736091";"2024-05-08";"1";"appstore";"it";"5";"Nonostante avessi annullato l’abbonamento nelle impostazioni del mio iPhone oggi mi sono stati addebitati 34.99 sul mio conto! Come posso annullare per far sì che questo non accada di nuovo senza nessun preavviso??";"Хоча я скасував підписку в налаштуваннях свого iPhone, сьогодні з мого рахунку списали 34,99! Як мені скасувати так, щоб це не сталось знову без жодного попередження??"
"as:12573789203";"2025-04-22";"1";"appstore";"fr";"4";"A outra versão era melhor, a atual está péssima, tinha mais dias favorável e descartável na previsão mensal, era mais completo, por favor arrumem isso";"Інша версія була краща, поточна — жахлива. Було більше сприятливих і несприятливих днів у місячному прогнозі, було повніше. Будь ласка, виправте це."
"gp:bdc1f9be-07e";"2021-02-15";"3";"googleplay";"pt";"4";"App maravilhoso da pra saber várias coisas sobre seu e outros signos, mas não está em português gostaria q tivesse por favor, mas esse é o único ponto q não gostei";"Чудовий застосунок, можна дізнатись багато різного про свій та інші знаки, але він не португальською, а я хотіла б, щоб був, будь ласка. Це єдине, що мені не сподобалось."
"gp:a64db3e5-76d";"2024-02-21";"2";"googleplay";"es";"4";"Señor Tuvo un problema con su aplicación por favor me puede responder para que la podamos resolver respondan en español porfa gracias";"Пане, виникла проблема з вашим застосунком, будь ласка, можете мені відповісти, щоб ми могли її вирішити. Відповідайте іспанською, будь ласка. Дякую."
"gp:3709c26f-4f6";"2023-10-29";"2";"googleplay";"es";"4";"Era buena y me encantaba, antes de que agregaran a Cetus y a Orion en el calendario y se me desfazara el signo. Yo soy de Piscis, siempre lo fui y siempre lo voy a ser, pero ahora me dice que soy de Aries solo por estos dos nuevos signos que arruinaron las fechas y el balance del sistema tradicional. Por favor que el cambio de fechas solo aplique para los que nacieron DESPUES de su adicion a los signos del zodiaco. Los nacidos como piscis no podemos amanecer de Aries de un dia para el otro.";"Він був хороший і мені дуже подобався — доки ви не додали в календар Кита і Оріона, і мій знак не зсунувся. Я Риби, завжди була і завжди буду, а тепер мені пише, що я Овен, лише через ці два нові знаки, які зруйнували дати й баланс традиційної системи. Будь ласка, зробіть так, щоб зміна дат застосовувалась лише до тих, хто народився ПІСЛЯ їхнього додавання до знаків зодіаку. Ті, хто народився Рибами, не можуть прокинутись Овнами з одного дня на другий."
